mission_profile,rank,primary_activity,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
normal,2,courier,39,1232507.44,526313.99,99933.04,566287.20,566287.20,1232507.44,6309.74,12619.49,8202.67,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
normal,2,hunting,1,1023078.23,834202.25,550888.28,236094.98,236094.98,1023078.23,9960.00,19920.00,12948.00,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
normal,2,mining,1,1258795.85,1055764.26,771520.04,243637.91,243637.91,1258795.85,9210.00,18420.00,11973.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,2,salvage,1,1217731.38,959424.72,627316.17,295207.61,295207.61,1217731.38,9920.00,19840.00,12896.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,3,combat,11,1905507.28,1230413.27,272215.33,816645.97,816645.97,1905507.28,22270.00,44540.00,33405.00,0.02,0.03,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
normal,3,courier,34,1438813.82,614412.39,116660.58,661076.62,661076.62,1438813.82,15790.29,31580.59,23685.44,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.01
normal,3,gas,1,1351421.86,1111653.46,828290.82,261565.52,261565.52,1351421.86,25980.00,51960.00,38970.00,0.02,0.04,0.02,0.03,0.00,0.00,0.02,0.04,0.02,0.03
normal,3,hunting,2,1422603.85,1159969.29,766017.46,328293.20,328293.20,1422603.85,22340.00,44680.00,33510.00,0.02,0.03,0.01,0.03,0.00,0.00,0.02,0.03,0.01,0.03
normal,3,mining,2,1302078.91,1092066.18,798048.36,252015.28,252015.28,1302078.91,20920.00,41840.00,31380.00,0.02,0.03,0.01,0.03,0.00,0.00,0.02,0.03,0.01,0.03
normal,3,salvage,1,1546153.75,1218181.74,796503.45,374825.15,374825.15,1546153.75,27320.00,54640.00,40980.00,0.02,0.03,0.02,0.03,0.00,0.00,0.02,0.03,0.02,0.03
normal,4,combat,17,1906409.84,1230996.07,272344.26,817032.79,817032.79,1906409.84,50826.47,199047.06,91487.65,0.04,0.07,0.02,0.05,0.00,0.01,0.04,0.07,0.02,0.04
normal,4,courier,22,1534220.79,655153.74,124396.28,704912.26,704912.26,1534220.79,36624.09,144260.00,65923.36,0.06,0.10,0.02,0.04,0.01,0.01,0.06,0.10,0.02,0.04
normal,4,gas,2,1378497.05,1133924.99,844885.28,266805.88,266805.88,1378497.05,55164.00,215236.00,99295.20,0.05,0.09,0.04,0.07,0.01,0.01,0.05,0.09,0.04,0.07
normal,4,hunting,2,1428260.06,1164581.28,769063.11,329598.47,329598.47,1428260.06,53563.00,205532.00,96413.40,0.04,0.08,0.04,0.07,0.01,0.01,0.04,0.08,0.04,0.07
normal,4,mining,4,1382842.18,1159803.12,847548.43,267646.87,267646.87,1382842.18,54630.75,205623.00,98335.35,0.04,0.08,0.04,0.07,0.01,0.01,0.04,0.08,0.04,0.07
normal,4,relic,1,1427865.77,468851.45,703277.17,362294.30,362294.30,1427865.77,44803.00,179212.00,80645.40,0.10,0.17,0.03,0.06,0.01,0.02,0.10,0.17,0.03,0.06
normal,4,salvage,3,1404155.33,1106304.20,723352.74,340401.29,340401.29,1404155.33,56669.33,219984.00,102004.80,0.05,0.09,0.04,0.07,0.01,0.01,0.05,0.10,0.04,0.08
normal,5,combat,18,1960350.97,1265826.63,280050.14,840150.42,840150.42,1960350.97,124089.50,490478.00,272996.90,0.10,0.21,0.06,0.14,0.01,0.02,0.09,0.20,0.06,0.13
normal,5,courier,15,1699221.43,725613.47,137774.71,780723.36,780723.36,1699221.43,88705.27,354143.73,195151.59,0.12,0.27,0.05,0.12,0.01,0.02,0.12,0.27,0.05,0.12
normal,5,gas,2,1463326.94,1203704.42,896877.80,283224.57,283224.57,1463326.94,139445.50,552042.00,306780.10,0.12,0.25,0.10,0.21,0.01,0.02,0.12,0.25,0.10,0.21
normal,5,hunting,3,1457342.37,1188294.55,784722.81,336309.78,336309.78,1457342.37,120533.67,469721.33,265174.07,0.10,0.22,0.08,0.18,0.01,0.02,0.09,0.21,0.08,0.17
normal,5,mining,5,1402090.90,1175947.20,859346.04,271372.43,271372.43,1402090.90,123675.40,481565.60,272085.88,0.10,0.23,0.09,0.19,0.01,0.02,0.10,0.21,0.08,0.18
normal,5,relic,1,1495639.12,491105.38,736658.07,379490.52,379490.52,1495639.12,112208.00,448832.00,246857.60,0.23,0.50,0.08,0.17,0.02,0.04,0.23,0.50,0.08,0.17
normal,5,repair,4,1834753.42,597841.00,226767.27,803993.07,803993.07,1834753.42,103237.00,407998.00,227121.40,0.17,0.38,0.06,0.12,0.01,0.03,0.18,0.39,0.06,0.13
normal,5,salvage,3,1443681.36,1137445.92,743714.64,349983.36,349983.36,1443681.36,132941.33,527365.33,292470.93,0.12,0.25,0.09,0.20,0.01,0.02,0.13,0.28,0.10,0.22
normal,6,combat,19,2024848.46,1307473.58,289264.07,867792.20,867792.20,2024848.46,314762.95,1968583.79,818383.66,0.24,0.62,0.15,0.40,0.02,0.05,0.23,0.59,0.15,0.38
normal,6,courier,13,1724869.03,736565.69,139854.25,792507.39,792507.39,1724869.03,216173.15,1323653.85,562050.20,0.30,0.78,0.13,0.33,0.02,0.06,0.27,0.70,0.12,0.30
normal,6,gas,2,1497020.46,1231420.06,917528.67,289745.90,289745.90,1497020.46,356664.50,2272200.00,927327.70,0.29,0.74,0.24,0.61,0.03,0.06,0.29,0.74,0.24,0.61
normal,6,hunting,3,1480232.06,1206958.45,797048.03,341592.01,341592.01,1480232.06,305614.67,1916377.33,794598.13,0.25,0.65,0.20,0.52,0.02,0.05,0.24,0.62,0.19,0.50
normal,6,mining,6,1393948.79,1169118.34,854355.71,269796.54,269796.54,1393948.79,307385.00,1969769.33,799201.00,0.26,0.67,0.22,0.57,0.02,0.06,0.25,0.65,0.21,0.55
normal,6,relic,1,1493646.96,490451.24,735676.86,378985.05,378985.05,1493646.96,273518.00,1586224.00,711146.80,0.56,1.45,0.18,0.48,0.05,0.12,0.56,1.45,0.18,0.48
normal,6,repair,4,1934707.58,630410.33,239121.16,847793.21,847793.21,1934707.58,264041.25,1634108.00,686507.25,0.42,1.08,0.14,0.35,0.04,0.09,0.42,1.10,0.14,0.36
normal,6,salvage,3,1551930.33,1222732.98,799479.26,376225.53,376225.53,1551930.33,344646.33,2169050.67,896080.47,0.27,0.71,0.22,0.56,0.03,0.06,0.31,0.81,0.24,0.64
normal,7,combat,21,2015591.06,1301495.94,287941.58,863824.74,863824.74,2015591.06,754079.00,4745902.10,2413052.80,0.57,1.83,0.37,1.18,0.05,0.15,0.55,1.77,0.36,1.14
normal,7,courier,11,1876816.84,801451.52,152174.34,862321.25,862321.25,1876816.84,562554.09,3453035.64,1800173.09,0.70,2.24,0.30,0.96,0.06,0.19,0.67,2.14,0.29,0.92
normal,7,gas,3,1448005.86,1191101.59,887487.46,280259.20,280259.20,1448005.86,771407.67,4941461.33,2468504.53,0.63,2.02,0.52,1.66,0.05,0.17,0.59,1.88,0.48,1.54
normal,7,hunting,3,1552856.34,1266175.17,836153.41,358351.46,358351.46,1552856.34,769451.00,4862453.33,2462243.20,0.59,1.91,0.49,1.56,0.05,0.16,0.56,1.79,0.46,1.46
normal,7,mining,5,1490342.83,1249964.95,913435.93,288453.45,288453.45,1490342.83,824068.80,5344020.00,2637020.16,0.65,2.09,0.55,1.75,0.05,0.18,0.61,1.97,0.52,1.65
normal,7,relic,1,1547219.09,508042.09,762063.13,392577.98,392577.98,1547219.09,705210.00,4068280.00,2256672.00,1.39,4.44,0.46,1.46,0.12,0.37,1.39,4.44,0.46,1.46
normal,7,repair,4,2006605.94,653837.89,248007.48,879299.23,879299.23,2006605.94,683172.00,4207706.00,2186150.40,1.04,3.33,0.34,1.08,0.09,0.28,1.08,3.44,0.35,1.12
normal,7,salvage,3,1600341.53,1260875.14,824418.36,387961.58,387961.58,1600341.53,867999.67,5475944.00,2777598.93,0.67,2.14,0.53,1.68,0.05,0.18,0.75,2.40,0.59,1.89
normal,8,combat,20,2075957.02,1340475.11,296565.29,889695.87,889695.87,2075957.02,1933551.90,16699566.00,7347497.22,1.43,5.42,0.92,3.50,0.10,0.36,1.38,5.25,0.89,3.38
normal,8,courier,10,1909251.69,815302.07,154804.19,877223.75,877223.75,1909251.69,1449011.50,12434928.80,5506243.70,1.77,6.74,0.76,2.88,0.12,0.45,1.75,6.63,0.75,2.83
normal,8,gas,3,1440191.42,1184673.59,882697.97,278746.73,278746.73,1440191.42,1917399.00,16629528.00,7286116.20,1.58,6.00,1.30,4.94,0.11,0.40,1.38,5.26,1.14,4.33
normal,8,hunting,3,1565051.94,1276119.27,842720.27,361165.83,361165.83,1565051.94,1950598.67,16912493.33,7412274.93,1.50,5.69,1.22,4.64,0.10,0.38,1.39,5.27,1.13,4.30
normal,8,mining,6,1515708.35,1271239.26,928982.54,293362.91,293362.91,1515708.35,2082979.67,18177673.33,7915322.73,1.61,6.11,1.35,5.12,0.11,0.40,1.55,5.88,1.29,4.93
normal,8,relic,1,1585062.79,520468.38,780702.57,402180.11,402180.11,1585062.79,1889969.00,15449864.00,7181882.20,3.63,13.80,1.19,4.53,0.24,0.92,3.63,13.80,1.19,4.53
normal,8,repair,5,2107767.08,686800.51,260510.54,923628.27,923628.27,2107767.08,1953762.00,16938979.20,7424295.60,2.81,10.68,0.91,3.48,0.19,0.71,2.59,9.85,0.84,3.21
normal,8,salvage,3,1695966.04,1336215.67,873679.48,411143.28,411143.28,1695966.04,2348749.67,20296746.67,8925248.73,1.72,6.53,1.35,5.14,0.12,0.44,1.92,7.30,1.51,5.75
normal,9,combat,21,2156165.85,1392267.09,308023.69,924071.08,924071.08,2156165.85,4830001.10,42081738.29,21252004.82,3.42,15.07,2.21,9.73,0.23,1.00,3.31,14.55,2.14,9.39
normal,9,courier,9,1946407.47,831168.60,157816.82,894295.33,894295.33,1946407.47,3543036.33,30437872.89,15589359.87,4.24,18.66,1.81,7.97,0.28,1.24,4.07,17.90,1.74,7.65
normal,9,gas,3,1520932.77,1251089.86,932184.60,294374.08,294374.08,1520932.77,4816589.00,42488829.33,21192991.60,3.79,16.67,3.12,13.72,0.25,1.11,3.46,15.22,2.85,12.52
normal,9,hunting,3,1609754.34,1312568.92,866790.79,371481.77,371481.77,1609754.34,4892805.00,42969333.33,21528342.00,3.66,16.11,2.98,13.13,0.24,1.07,3.51,15.46,2.86,12.60
normal,9,mining,6,1521481.85,1276081.55,932521.13,294480.36,294480.36,1521481.85,4950802.67,43634753.33,21783531.73,3.80,16.72,3.19,14.02,0.25,1.12,3.69,16.21,3.09,13.60
normal,9,relic,1,1603238.68,526436.58,789654.87,406791.90,406791.90,1603238.68,4289543.00,35255760.00,18873989.20,8.15,35.85,2.68,11.77,0.54,2.39,8.15,35.85,2.68,11.77
normal,9,repair,5,2183132.16,711357.67,269825.32,956653.42,956653.42,2183132.16,4859258.60,42736576.00,21380737.84,6.76,29.72,2.20,9.69,0.45,1.98,6.58,28.94,2.14,9.43
normal,9,salvage,3,1684954.77,1327540.12,868007.00,408473.88,408473.88,1684954.77,5423218.67,47593946.67,23862162.13,4.00,17.58,3.15,13.85,0.26,1.17,4.53,19.91,3.57,15.69
normal,10,combat,22,2171649.13,1402264.87,310235.59,930706.77,930706.77,2171649.13,17519093.55,104359970.18,87595467.73,12.44,62.19,8.03,40.16,0.83,4.15,12.21,61.02,7.88,39.41
normal,10,courier,8,1932592.49,825269.23,156696.69,887947.90,887947.90,1932592.49,13941727.75,74243599.00,69708638.75,16.89,84.45,7.21,36.06,1.13,5.63,16.86,84.30,7.20,35.99
normal,10,gas,3,1479548.30,1217047.80,906819.93,286364.19,286364.19,1479548.30,17310113.67,103836409.33,86550568.33,14.08,70.38,11.58,57.90,0.94,4.69,13.28,66.40,10.92,54.62
normal,10,hunting,3,1604501.58,1308285.90,863962.39,370269.60,370269.60,1604501.58,17600960.33,106403450.67,88004801.67,13.36,66.78,10.89,54.45,0.89,4.45,12.87,64.33,10.49,52.45
normal,10,mining,6,1580824.66,1325852.94,968892.53,305966.06,305966.06,1580824.66,18205162.67,111954233.33,91025813.33,13.64,68.18,11.44,57.18,0.91,4.55,13.26,66.25,11.11,55.57
normal,10,relic,1,1655912.29,543732.39,815598.59,420156.85,420156.85,1655912.29,16851352.00,94220848.00,84256760.00,30.99,154.96,10.18,50.88,2.07,10.33,30.99,154.96,10.18,50.88
normal,10,repair,5,2158243.23,703247.80,266749.16,945747.03,945747.03,2158243.23,17422828.40,104983273.60,87114142.00,24.68,123.40,8.04,40.21,1.65,8.23,23.94,119.72,7.80,39.01
normal,10,salvage,3,1837011.26,1447342.20,946339.13,445336.06,445336.06,1837011.26,20428316.67,129337650.67,102141583.33,13.95,69.74,10.99,54.94,0.93,4.65,14.73,73.63,11.60,58.01
quick,2,combat,9,4028.23,2601.08,575.46,1726.38,1726.38,4028.23,8901.11,17802.22,11571.44,3.40,4.42,2.19,2.85,0.34,0.44,3.54,4.60,2.29,2.97
quick,2,courier,39,3864.96,1650.44,313.37,1775.79,1775.79,3864.96,6309.74,12619.49,8202.67,3.78,4.92,1.62,2.10,0.38,0.49,3.95,5.14,1.69,2.19
quick,2,hunting,1,3064.17,2498.48,1649.94,707.12,707.12,3064.17,9960.00,19920.00,12948.00,3.99,5.18,3.25,4.23,0.40,0.52,3.99,5.18,3.25,4.23
quick,2,mining,1,2769.35,2322.68,1697.34,536.00,536.00,2769.35,9210.00,18420.00,11973.00,3.97,5.15,3.33,4.32,0.40,0.52,3.97,5.15,3.33,4.32
quick,2,salvage,1,3042.53,2397.15,1567.37,737.58,737.58,3042.53,9920.00,19840.00,12896.00,4.14,5.38,3.26,4.24,0.41,0.54,4.14,5.38,3.26,4.24
quick,3,combat,11,8390.48,5417.85,1198.64,3595.92,3595.92,8390.48,22270.00,44540.00,33405.00,4.07,6.10,2.63,3.94,0.41,0.61,4.34,6.52,2.80,4.21
quick,3,courier,34,7847.29,3351.01,636.27,3605.51,3605.51,7847.29,15790.29,31580.59,23685.44,4.66,6.99,1.99,2.99,0.47,0.70,4.83,7.25,2.06,3.10
quick,3,gas,1,5946.26,4891.28,3644.48,1150.89,1150.89,5946.26,25980.00,51960.00,38970.00,5.31,7.97,4.37,6.55,0.53,0.80,5.31,7.97,4.37,6.55
quick,3,hunting,2,6259.45,5103.86,3370.48,1444.49,1444.49,6259.45,22340.00,44680.00,33510.00,4.33,6.50,3.53,5.29,0.43,0.65,4.33,6.50,3.53,5.29
quick,3,mining,2,5729.15,4805.09,3511.41,1108.87,1108.87,5729.15,20920.00,41840.00,31380.00,4.30,6.46,3.61,5.42,0.43,0.65,4.30,6.46,3.61,5.42
quick,3,salvage,1,6803.08,5360.00,3504.62,1649.23,1649.23,6803.08,27320.00,54640.00,40980.00,5.10,7.65,4.02,6.02,0.51,0.76,5.10,7.65,4.02,6.02
quick,4,combat,17,16585.77,10709.67,2369.39,7108.18,7108.18,16585.77,50826.47,199047.06,91487.65,4.68,8.42,3.02,5.43,0.47,0.84,4.40,7.92,2.84,5.11
quick,4,courier,22,15500.48,6619.12,1256.79,7121.84,7121.84,15500.48,36624.09,144260.00,65923.36,5.51,9.91,2.35,4.23,0.55,0.99,5.13,9.25,2.19,3.95
quick,4,gas,2,11992.92,9865.15,7350.50,2321.21,2321.21,11992.92,55164.00,215236.00,99295.20,5.56,10.02,4.58,8.24,0.55,1.00,5.56,10.02,4.58,8.24
quick,4,hunting,2,12425.86,10131.85,6690.85,2867.51,2867.51,12425.86,53563.00,205532.00,96413.40,5.24,9.43,4.28,7.69,0.53,0.94,5.24,9.43,4.28,7.69
quick,4,mining,4,12030.73,10090.29,7373.67,2328.53,2328.53,12030.73,54630.75,205623.00,98335.35,5.36,9.65,4.50,8.10,0.54,0.96,5.38,9.68,4.50,8.12
quick,4,relic,1,12422.43,4079.01,6118.51,3151.96,3151.96,12422.43,44803.00,179212.00,80645.40,10.98,19.77,3.61,6.49,1.10,1.98,10.98,19.77,3.61,6.49
quick,4,salvage,3,12768.32,10059.89,6577.62,3095.35,3095.35,12768.32,56669.33,219984.00,102004.80,5.47,9.85,4.31,7.76,0.55,0.99,6.22,11.19,4.90,8.82
quick,5,combat,18,34110.11,22025.38,4872.87,14618.62,14618.62,34110.11,124089.50,490478.00,272996.90,5.55,12.22,3.59,7.89,0.46,1.02,5.26,11.57,3.40,7.47
quick,5,courier,15,32011.51,13669.78,2595.53,14707.99,14707.99,32011.51,88705.27,354143.73,195151.59,6.44,14.17,2.75,6.05,0.54,1.18,6.11,13.43,2.61,5.74
quick,5,gas,2,25461.89,20944.46,15605.67,4928.10,4928.10,25461.89,139445.50,552042.00,306780.10,6.62,14.55,5.45,11.97,0.55,1.21,6.62,14.55,5.45,11.97
quick,5,hunting,3,25357.76,20676.33,13654.18,5851.79,5851.79,25357.76,120533.67,469721.33,265174.07,5.67,12.49,4.63,10.18,0.47,1.04,5.38,11.84,4.39,9.66
quick,5,mining,5,24396.38,20461.48,14952.62,4721.88,4721.88,24396.38,123675.40,481565.60,272085.88,5.93,13.06,4.98,10.95,0.50,1.09,5.61,12.35,4.71,10.36
quick,5,relic,1,26024.12,8545.23,12817.85,6603.14,6603.14,26024.12,112208.00,448832.00,246857.60,13.13,28.89,4.31,9.49,1.09,2.41,13.13,28.89,4.31,9.49
quick,5,repair,4,31924.71,10402.43,3945.75,13989.48,13989.48,31924.71,103237.00,407998.00,227121.40,9.89,21.75,3.22,7.09,0.82,1.81,10.25,22.55,3.34,7.35
quick,5,salvage,3,25601.27,20170.70,13188.54,6206.37,6206.37,25601.27,132941.33,527365.33,292470.93,6.42,14.13,5.06,11.13,0.54,1.18,7.29,16.03,5.74,12.63
quick,6,combat,19,70869.70,45761.57,10124.24,30372.73,30372.73,70869.70,314762.95,1968583.79,818383.66,6.81,17.71,4.40,11.43,0.57,1.47,6.43,16.72,4.15,10.79
quick,6,courier,13,64444.58,27519.58,5225.24,29609.67,29609.67,64444.58,216173.15,1323653.85,562050.20,7.83,20.36,3.34,8.69,0.65,1.70,7.50,19.50,3.20,8.33
quick,6,gas,2,52395.71,43099.70,32113.50,10141.10,10141.10,52395.71,356664.50,2272200.00,927327.70,8.21,21.35,6.75,17.56,0.69,1.78,8.21,21.35,6.75,17.56
quick,6,hunting,3,51808.12,42243.54,27896.68,11955.72,11955.72,51808.12,305614.67,1916377.33,794598.13,7.08,18.41,5.77,15.01,0.59,1.54,6.77,17.61,5.52,14.36
quick,6,mining,6,48788.21,40919.14,29902.45,9442.88,9442.88,48788.21,307385.00,1969769.33,799201.00,7.41,19.26,6.21,16.15,0.62,1.60,7.16,18.64,6.01,15.63
quick,6,relic,1,52277.64,17165.79,25748.69,13264.48,13264.48,52277.64,273518.00,1586224.00,711146.80,15.93,41.43,5.23,13.60,1.33,3.45,15.93,41.43,5.23,13.60
quick,6,repair,4,67714.76,22064.36,8369.24,29672.76,29672.76,67714.76,264041.25,1634108.00,686507.25,11.94,31.05,3.89,10.12,1.00,2.59,12.13,31.54,3.96,10.28
quick,6,salvage,3,54317.56,42795.65,27981.77,13167.89,13167.89,54317.56,344646.33,2169050.67,896080.47,7.82,20.34,6.17,16.03,0.65,1.69,8.86,23.04,6.98,18.15
quick,7,combat,21,141091.37,91104.72,20155.91,60467.73,60467.73,141091.37,754079.00,4745902.10,2413052.80,8.16,26.11,5.27,16.86,0.68,2.18,7.92,25.33,5.11,16.36
quick,7,courier,11,134167.61,57293.20,10878.45,61644.58,61644.58,134167.61,562554.09,3453035.64,1800173.09,9.74,31.16,4.16,13.31,0.81,2.60,9.16,29.30,3.91,12.51
quick,7,gas,3,101360.41,83377.11,62124.12,19618.14,19618.14,101360.41,771407.67,4941461.33,2468504.53,9.00,28.80,7.40,23.69,0.75,2.40,8.38,26.83,6.90,22.07
quick,7,hunting,3,108699.95,88632.26,58530.74,25084.60,25084.60,108699.95,769451.00,4862453.33,2462243.20,8.52,27.27,6.95,22.23,0.71,2.27,8.01,25.62,6.53,20.89
quick,7,mining,5,104324.00,87497.55,63940.51,20191.74,20191.74,104324.00,824068.80,5344020.00,2637020.16,9.33,29.84,7.82,25.03,0.78,2.49,8.77,28.08,7.36,23.55
quick,7,relic,1,108305.34,35562.95,53344.42,27480.46,27480.46,108305.34,705210.00,4068280.00,2256672.00,19.83,63.46,6.51,20.84,1.65,5.29,19.83,63.46,6.51,20.84
quick,7,repair,4,140462.42,45768.65,17360.52,61550.94,61550.94,140462.42,683172.00,4207706.00,2186150.40,14.87,47.59,4.84,15.51,1.24,3.97,15.36,49.16,5.00,16.02
quick,7,salvage,3,112023.91,88261.26,57709.29,27157.31,27157.31,112023.91,867999.67,5475944.00,2777598.93,9.54,30.55,7.52,24.07,0.80,2.55,10.72,34.31,8.45,27.04
quick,8,combat,20,290633.98,187666.51,41519.14,124557.42,124557.42,290633.98,1933551.90,16699566.00,7347497.22,10.19,38.74,6.58,25.02,0.68,2.58,9.86,37.45,6.36,24.18
quick,8,courier,10,268386.52,114608.30,21761.07,123312.73,123312.73,268386.52,1449011.50,12434928.80,5506243.70,12.62,47.95,5.39,20.47,0.84,3.20,12.37,46.98,5.28,20.06
quick,8,gas,3,201626.80,165854.30,123577.71,39024.54,39024.54,201626.80,1917399.00,16629528.00,7286116.20,11.28,42.86,9.28,35.26,0.75,2.86,9.89,37.57,8.13,30.90
quick,8,hunting,3,219107.27,178656.70,117980.84,50563.22,50563.22,219107.27,1950598.67,16912493.33,7412274.93,10.70,40.64,8.72,33.14,0.71,2.71,9.92,37.68,8.08,30.72
quick,8,mining,6,212199.17,177973.50,130057.55,41070.81,41070.81,212199.17,2082979.67,18177673.33,7915322.73,11.48,43.62,9.63,36.58,0.77,2.91,11.05,42.00,9.27,35.22
quick,8,relic,1,221908.79,72865.57,109298.36,56305.22,56305.22,221908.79,1889969.00,15449864.00,7181882.20,25.94,98.56,8.52,32.36,1.73,6.57,25.94,98.56,8.52,32.36
quick,8,repair,5,295087.39,96152.07,36471.48,129307.96,129307.96,295087.39,1953762.00,16938979.20,7424295.60,20.08,76.29,6.54,24.86,1.34,5.09,18.52,70.37,6.03,22.93
quick,8,salvage,3,237435.25,187070.20,122315.13,57560.06,57560.06,237435.25,2348749.67,20296746.67,8925248.73,12.27,46.62,9.67,36.73,0.82,3.11,13.73,52.17,10.82,41.10
quick,9,combat,21,612351.10,395403.85,87478.73,262436.19,262436.19,612351.10,4830001.10,42081738.29,21252004.82,12.06,53.06,7.79,34.26,0.80,3.54,11.64,51.23,7.52,33.08
quick,9,courier,9,559252.29,238815.84,45344.78,256953.75,256953.75,559252.29,3543036.33,30437872.89,15589359.87,14.74,64.88,6.30,27.70,0.98,4.32,14.09,62.00,6.02,26.48
quick,9,gas,3,431944.91,355309.52,264740.43,83602.24,83602.24,431944.91,4816589.00,42488829.33,21192991.60,13.34,58.71,10.98,48.30,0.89,3.91,12.18,53.59,10.02,44.09
quick,9,hunting,3,457170.23,372769.57,246168.59,105500.82,105500.82,457170.23,4892805.00,42969333.33,21528342.00,12.89,56.73,10.51,46.26,0.86,3.78,12.37,54.43,10.09,44.38
quick,9,mining,6,432100.84,362407.16,264836.00,83632.42,83632.42,432100.84,4950802.67,43634753.33,21783531.73,13.38,58.88,11.22,49.38,0.89,3.93,12.98,57.10,10.88,47.89
quick,9,relic,1,455319.79,149507.99,224261.98,115528.90,115528.90,455319.79,4289543.00,35255760.00,18873989.20,28.69,126.24,9.42,41.45,1.91,8.42,28.69,126.24,9.42,41.45
quick,9,repair,5,620009.53,202025.58,76630.39,271689.57,271689.57,620009.53,4859258.60,42736576.00,21380737.84,23.79,104.66,7.75,34.11,1.59,6.98,23.16,101.91,7.55,33.21
quick,9,salvage,3,478527.15,377021.39,246513.99,116006.58,116006.58,478527.15,5423218.67,47593946.67,23862162.13,14.07,61.90,11.08,48.77,0.94,4.12,15.94,70.11,12.55,55.24
quick,10,combat,22,1259556.50,813313.62,179936.64,539809.93,539809.93,1259556.50,17519093.55,104359970.18,87595467.73,21.45,107.22,13.85,69.24,1.43,7.15,21.05,105.21,13.59,67.94
quick,10,courier,8,1128850.64,482049.73,91528.43,518661.10,518661.10,1128850.64,13941727.75,74243599.00,69708638.75,28.92,144.60,12.35,61.75,1.93,9.64,28.75,143.72,12.28,61.37
quick,10,gas,3,858138.01,705887.72,525955.56,166091.23,166091.23,858138.01,17310113.67,103836409.33,86550568.33,24.27,121.35,19.96,99.82,1.62,8.09,22.90,114.48,18.83,94.17
quick,10,hunting,3,930610.92,758805.83,501098.19,214756.37,214756.37,930610.92,17600960.33,106403450.67,88004801.67,23.03,115.13,18.78,93.88,1.53,7.67,22.18,110.91,18.09,90.43
quick,10,mining,6,916878.30,768994.71,561957.67,177460.32,177460.32,916878.30,18205162.67,111954233.33,91025813.33,23.51,117.55,19.72,98.59,1.57,7.84,22.84,114.23,19.16,95.81
quick,10,relic,1,960429.13,315364.79,473047.18,243690.97,243690.97,960429.13,16851352.00,94220848.00,84256760.00,53.43,267.17,17.55,87.73,3.56,17.81,53.43,267.17,17.55,87.73
quick,10,repair,5,1251781.08,407883.72,154714.52,548533.28,548533.28,1251781.08,17422828.40,104983273.60,87114142.00,42.55,212.76,13.87,69.33,2.84,14.18,41.28,206.41,13.45,67.26
quick,10,salvage,3,1065466.53,839458.48,548876.70,258294.91,258294.91,1065466.53,20428316.67,129337650.67,102141583.33,24.05,120.23,18.95,94.73,1.60,8.01,25.39,126.95,20.00,100.02
