mission_profile,rank,faction_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
normal,6,capital,11,1883237.32,1006591.96,280642.94,801297.19,801297.19,1883237.32,280220.64,1761238.91,728573.65,0.29,0.75,0.15,0.39,0.02,0.06,0.28,0.73,0.14,0.37
normal,6,devourers,8,1767696.54,1187946.27,458658.98,654518.78,654518.78,1767696.54,285080.12,1790690.50,741208.32,0.24,0.62,0.16,0.42,0.02,0.05,0.23,0.60,0.16,0.41
normal,6,factory_ark,8,1754731.42,928975.40,431460.09,661635.66,661635.66,1754731.42,284801.38,1718101.00,740483.58,0.33,0.87,0.16,0.42,0.03,0.07,0.30,0.78,0.15,0.40
normal,6,mist_synod,8,1833964.90,1019484.82,390785.04,721589.93,721589.93,1833964.90,290792.25,1840627.00,756059.85,0.29,0.76,0.16,0.42,0.02,0.06,0.27,0.70,0.14,0.36
normal,6,stone_vault,7,1638180.49,1209210.45,602798.91,517690.79,517690.79,1638180.49,290628.57,1860501.71,755634.29,0.24,0.62,0.18,0.47,0.02,0.05,0.24,0.61,0.18,0.46
normal,6,wind_houses,9,1727566.59,1063092.48,355906.64,685829.98,685829.98,1727566.59,291848.33,1795562.22,758805.67,0.29,0.76,0.17,0.45,0.03,0.06,0.25,0.66,0.15,0.39
normal,7,capital,11,1943965.70,1066481.49,300169.59,821898.05,821898.05,1943965.70,714154.45,4495130.91,2285294.25,0.69,2.21,0.37,1.18,0.06,0.18,0.69,2.20,0.35,1.12
normal,7,devourers,8,1819871.88,1226843.09,477051.97,671409.96,671409.96,1819871.88,718398.25,4539596.00,2298874.40,0.58,1.85,0.40,1.26,0.05,0.16,0.56,1.79,0.38,1.21
normal,7,factory_ark,8,1821554.36,963503.28,445929.09,687812.63,687812.63,1821554.36,721529.50,4344585.00,2308894.40,0.82,2.62,0.40,1.27,0.07,0.22,0.73,2.31,0.37,1.18
normal,7,mist_synod,8,1862184.22,1100605.14,484779.91,688702.16,688702.16,1862184.22,756216.62,4821209.00,2419893.20,0.70,2.25,0.41,1.32,0.06,0.19,0.66,2.10,0.38,1.21
normal,7,stone_vault,7,1672023.98,1156827.79,521007.15,575508.42,575508.42,1672023.98,709531.29,4594896.57,2270500.11,0.62,1.98,0.43,1.37,0.05,0.17,0.58,1.87,0.44,1.41
normal,7,wind_houses,9,1853854.61,1168705.84,386126.44,733864.08,733864.08,1853854.61,712999.78,4428031.11,2281599.29,0.61,1.94,0.39,1.23,0.05,0.16,0.61,1.97,0.35,1.12
normal,8,capital,11,1996892.11,1098858.00,313501.96,841695.07,841695.07,1996892.11,1869585.73,16222173.09,7104425.76,1.76,6.67,0.94,3.56,0.12,0.44,1.75,6.64,0.86,3.27
normal,8,devourers,8,1846460.55,1238980.37,481019.08,682720.73,682720.73,1846460.55,1833741.25,15860469.00,6968216.75,1.47,5.57,1.00,3.79,0.10,0.37,1.38,5.26,0.96,3.66
normal,8,factory_ark,8,1885197.98,1011065.43,469112.33,708042.82,708042.82,1885197.98,1884563.62,16047650.00,7161341.78,2.07,7.88,1.00,3.81,0.14,0.53,1.88,7.15,0.93,3.51
normal,8,mist_synod,8,1826486.46,1140266.85,495786.72,665349.87,665349.87,1826486.46,1883293.00,16381906.00,7156513.40,1.69,6.43,1.05,3.98,0.11,0.43,1.58,6.02,1.02,3.88
normal,8,stone_vault,7,1722598.09,1274067.94,640061.05,541268.52,541268.52,1722598.09,1934344.86,16871904.00,7350510.46,1.49,5.67,1.13,4.29,0.10,0.38,1.43,5.43,1.15,4.38
normal,8,wind_houses,9,1938252.67,1089671.13,381944.15,778154.26,778154.26,1938252.67,1894379.11,16244475.56,7198640.62,1.82,6.92,0.99,3.75,0.12,0.46,1.63,6.18,0.87,3.32
normal,9,capital,11,2086453.20,1147453.25,324909.30,880771.95,880771.95,2086453.20,4673490.55,40767622.55,20563358.40,4.19,18.42,2.24,9.86,0.28,1.23,4.07,17.90,2.12,9.31
normal,9,devourers,8,1836951.78,1318528.26,574198.47,631376.66,631376.66,1836951.78,4551410.88,39875218.00,20026207.85,3.39,14.93,2.49,10.96,0.23,0.99,3.29,14.50,2.38,10.46
normal,9,factory_ark,8,1905016.50,1016385.94,469108.50,717954.00,717954.00,1905016.50,4577891.12,39297473.00,20142720.95,4.96,21.81,2.40,10.57,0.33,1.45,4.43,19.46,2.26,9.96
normal,9,mist_synod,8,1929374.13,1205798.18,523965.20,702704.46,702704.46,1929374.13,4771183.25,41960103.00,20993206.30,4.06,17.85,2.52,11.06,0.27,1.19,3.75,16.49,2.39,10.50
normal,9,stone_vault,7,1809947.83,1240762.51,550339.56,629804.14,629804.14,1809947.83,4634637.57,40780510.86,20392405.31,3.74,16.45,2.59,11.38,0.25,1.10,3.44,15.14,2.71,11.92
normal,9,wind_houses,9,1988945.21,1166490.53,406571.98,791186.61,791186.61,1988945.21,4661233.22,40510119.11,20509426.18,4.19,18.43,2.36,10.39,0.28,1.23,3.76,16.55,2.15,9.45
normal,10,capital,11,2089734.00,1195551.77,339538.00,875097.99,875097.99,2089734.00,17121702.09,101423322.55,85608510.45,14.96,74.80,8.21,41.07,1.00,4.99,14.25,71.26,7.80,39.01
normal,10,devourers,8,1882903.19,1348203.68,580807.28,651047.95,651047.95,1882903.19,17186036.00,102401109.50,85930180.00,12.68,63.41,9.34,46.70,0.84,4.23,12.32,61.59,9.16,45.78
normal,10,factory_ark,8,1930391.30,1040919.14,487581.19,721405.06,721405.06,1930391.30,17196839.88,100763130.00,85984199.38,18.74,93.68,8.94,44.70,1.25,6.25,16.41,82.02,8.46,42.30
normal,10,mist_synod,8,1909306.68,1186382.90,513297.46,698004.61,698004.61,1909306.68,17241690.00,103289485.50,86208450.00,15.06,75.30,9.28,46.40,1.01,5.02,13.55,67.75,8.49,42.45
normal,10,stone_vault,7,1849374.56,1266939.44,569232.81,640070.87,640070.87,1849374.56,17173140.29,102940647.43,85865701.43,13.70,68.51,9.45,47.24,0.91,4.57,13.05,65.23,9.16,45.82
normal,10,wind_houses,9,2024308.39,1195711.82,424420.60,799943.90,799943.90,2024308.39,17180143.33,101288044.89,85900716.67,15.20,75.99,8.53,42.66,1.01,5.07,13.46,67.28,7.72,38.62
quick,2,capital,11,3980.48,1859.33,367.81,1806.33,1806.33,3980.48,6987.27,13974.55,9083.45,3.76,4.89,1.73,2.26,0.38,0.49,3.87,5.03,1.73,2.25
quick,2,devourers,8,3746.88,1867.48,512.52,1617.18,1617.18,3746.88,6951.25,13902.50,9036.62,3.69,4.80,1.87,2.43,0.37,0.48,3.82,4.96,1.72,2.24
quick,2,factory_ark,8,3562.75,1872.71,514.43,1524.16,1524.16,3562.75,6735.00,13470.00,8755.50,3.59,4.67,1.90,2.47,0.36,0.47,3.54,4.59,1.75,2.29
quick,2,mist_synod,8,3913.64,1789.41,350.70,1781.47,1781.47,3913.64,6982.50,13965.00,9077.25,3.90,5.07,1.76,2.29,0.39,0.51,3.99,5.17,1.71,2.21
quick,2,stone_vault,7,3658.21,1962.79,574.18,1542.02,1542.02,3658.21,7038.57,14077.14,9150.14,3.58,4.66,1.97,2.56,0.36,0.47,3.59,4.67,1.76,2.29
quick,2,wind_houses,9,4076.05,1840.70,358.77,1858.64,1858.64,4076.05,7088.89,14177.78,9215.56,3.81,4.96,1.72,2.24,0.38,0.50,3.83,4.98,1.69,2.19
quick,3,capital,11,7957.00,3876.00,780.23,3588.38,3588.38,7957.00,17528.18,35056.36,26292.27,4.56,6.85,2.18,3.27,0.46,0.68,4.34,6.52,2.17,3.25
quick,3,devourers,8,7366.35,4208.01,1441.44,2962.45,2962.45,7366.35,17876.25,35752.50,26814.38,4.22,6.33,2.44,3.66,0.42,0.63,4.06,6.09,2.25,3.38
quick,3,factory_ark,8,7714.97,4050.38,1121.50,3296.73,3296.73,7714.97,18193.75,36387.50,27290.62,4.49,6.73,2.36,3.55,0.45,0.67,4.33,6.50,2.20,3.30
quick,3,mist_synod,8,7831.62,3899.66,1104.12,3363.75,3363.75,7831.62,18485.00,36970.00,27727.50,4.74,7.10,2.40,3.60,0.47,0.71,5.04,7.56,2.16,3.24
quick,3,stone_vault,7,7230.21,4285.54,1604.84,2812.69,2812.69,7230.21,18297.14,36594.29,27445.71,4.26,6.40,2.58,3.86,0.43,0.64,4.24,6.36,2.28,3.42
quick,3,wind_houses,9,8265.29,3744.51,730.89,3767.20,3767.20,8265.29,18258.89,36517.78,27388.33,4.82,7.24,2.17,3.26,0.48,0.72,4.86,7.30,2.12,3.18
quick,4,capital,11,15791.92,8536.25,2276.13,6757.89,6757.89,15791.92,45248.64,175761.82,81447.55,5.34,9.60,2.89,5.20,0.53,0.96,5.10,9.17,2.70,4.87
quick,4,devourers,8,15120.63,9013.12,3028.13,6046.25,6046.25,15120.63,45330.88,175363.50,81595.57,5.04,9.07,3.02,5.45,0.50,0.91,4.96,8.93,2.81,5.06
quick,4,factory_ark,8,14458.08,8479.92,3523.48,5467.30,5467.30,14458.08,45784.00,182226.00,82411.20,5.73,10.32,3.17,5.70,0.57,1.03,5.19,9.34,3.02,5.42
quick,4,mist_synod,8,15021.88,8539.50,3077.71,5972.09,5972.09,15021.88,45976.62,180761.50,82757.93,5.41,9.73,3.12,5.62,0.54,0.97,5.18,9.31,2.75,4.95
quick,4,stone_vault,7,13947.50,9537.00,4230.20,4858.65,4858.65,13947.50,45820.14,175160.57,82476.26,4.76,8.56,3.34,6.01,0.47,0.85,4.79,8.62,3.45,6.20
quick,4,wind_houses,9,15834.22,8153.42,2186.06,6824.08,6824.08,15834.22,45040.00,177155.56,81072.00,5.52,9.94,2.85,5.13,0.55,0.99,5.79,10.42,2.62,4.72
quick,5,capital,11,32864.90,17387.28,4845.93,14009.49,14009.49,32864.90,112289.73,443937.09,247037.40,6.60,14.52,3.44,7.57,0.55,1.21,6.12,13.47,3.25,7.16
quick,5,devourers,8,29695.31,19962.82,7770.92,10962.19,10962.19,29695.31,111834.62,437468.50,246036.17,5.51,12.13,3.76,8.28,0.46,1.01,5.40,11.89,3.60,7.92
quick,5,factory_ark,8,29234.50,15509.37,7210.48,11012.01,11012.01,29234.50,110352.00,441408.00,242774.40,7.76,17.07,3.77,8.30,0.65,1.42,6.96,15.30,3.56,7.83
quick,5,mist_synod,8,31534.43,17609.84,6688.48,12422.98,12422.98,31534.43,116033.50,461574.00,255273.70,6.79,14.94,3.74,8.23,0.57,1.25,6.18,13.57,3.30,7.28
quick,5,stone_vault,7,27715.94,20524.19,10359.06,8678.44,8678.44,27715.94,113707.57,443338.86,250156.66,5.44,11.96,4.13,9.08,0.45,1.00,5.25,11.56,4.07,8.96
quick,5,wind_houses,9,32713.44,17645.59,4730.05,13991.69,13991.69,32713.44,112237.56,446052.44,246922.62,6.36,14.00,3.43,7.55,0.53,1.17,6.11,13.43,3.26,7.16
quick,6,capital,11,66546.75,35501.21,9873.86,28336.44,28336.44,66546.75,280220.64,1761238.91,728573.65,8.12,21.12,4.24,11.03,0.68,1.76,7.50,19.50,4.06,10.57
quick,6,devourers,8,61869.38,41578.12,16053.06,22908.16,22908.16,61869.38,285080.12,1790690.50,741208.32,6.76,17.57,4.62,12.02,0.56,1.46,6.60,17.16,4.44,11.54
quick,6,factory_ark,8,61579.84,32584.27,15114.42,23232.71,23232.71,61579.84,284801.38,1718101.00,740483.58,9.50,24.71,4.63,12.03,0.79,2.06,8.50,22.12,4.35,11.29
quick,6,mist_synod,8,64359.08,35754.69,13691.28,25333.90,25333.90,64359.08,290792.25,1840627.00,756059.85,8.34,21.68,4.61,11.98,0.70,1.81,7.67,19.94,4.02,10.45
quick,6,stone_vault,7,57336.32,42322.37,21097.96,18119.18,18119.18,57336.32,290628.57,1860501.71,755634.29,6.78,17.62,5.15,13.38,0.56,1.47,6.75,17.54,5.04,13.10
quick,6,wind_houses,9,65278.15,39263.65,12847.00,26215.57,26215.57,65278.15,291848.33,1795562.22,758805.67,7.43,19.32,4.54,11.81,0.62,1.61,7.27,18.91,4.12,10.72
quick,7,capital,11,136344.73,74767.77,21033.53,57655.60,57655.60,136344.73,714154.45,4495130.91,2285294.25,9.83,31.47,5.27,16.87,0.82,2.62,9.60,30.72,4.99,15.96
quick,7,devourers,8,127391.03,85879.02,33393.64,46998.70,46998.70,127391.03,718398.25,4539596.00,2298874.40,8.29,26.51,5.65,18.06,0.69,2.21,8.00,25.57,5.40,17.28
quick,7,factory_ark,8,127508.80,67445.23,31215.04,48146.89,48146.89,127508.80,721529.50,4344585.00,2308894.40,11.69,37.41,5.67,18.16,0.97,3.12,10.32,33.03,5.29,16.91
quick,7,mist_synod,8,130352.90,77042.36,33934.59,48209.15,48209.15,130352.90,756216.62,4821209.00,2419893.20,10.03,32.10,5.90,18.89,0.84,2.68,9.38,29.99,5.40,17.28
quick,7,stone_vault,7,120345.35,82388.70,36738.37,41803.49,41803.49,120345.35,709531.29,4594896.57,2270500.11,8.54,27.34,5.98,19.12,0.71,2.28,8.34,26.70,6.30,20.17
quick,7,wind_houses,9,130284.34,82029.12,27070.57,51606.89,51606.89,130284.34,712999.78,4428031.11,2281599.29,8.63,27.60,5.49,17.57,0.72,2.30,8.77,28.08,5.00,15.99
quick,8,capital,11,279564.89,153840.12,43890.27,117837.31,117837.31,279564.89,1869585.73,16222173.09,7104425.76,12.54,47.66,6.69,25.44,0.84,3.18,12.49,47.46,6.15,23.35
quick,8,devourers,8,258504.48,173457.25,67342.67,95580.90,95580.90,258504.48,1833741.25,15860469.00,6968216.75,10.47,39.80,7.12,27.07,0.70,2.65,9.89,37.59,6.88,26.12
quick,8,factory_ark,8,263927.72,141549.16,65675.73,99126.00,99126.00,263927.72,1884563.62,16047650.00,7161341.78,14.80,56.25,7.16,27.18,0.99,3.75,13.44,51.07,6.61,25.11
quick,8,mist_synod,8,255708.11,159637.36,69410.14,93148.98,93148.98,255708.11,1883293.00,16381906.00,7156513.40,12.08,45.91,7.49,28.45,0.81,3.06,11.30,42.95,7.30,27.73
quick,8,stone_vault,7,241163.73,178369.51,89608.55,75777.59,75777.59,241163.73,1934344.86,16871904.00,7350510.46,10.65,40.48,8.07,30.68,0.71,2.70,10.21,38.79,8.22,31.25
quick,8,wind_houses,9,272567.91,153071.74,53570.49,109498.71,109498.71,272567.91,1894379.11,16244475.56,7198640.62,12.95,49.23,7.03,26.71,0.86,3.28,11.61,44.13,6.24,23.70
quick,9,capital,11,592552.71,325876.72,92274.24,250139.24,250139.24,592552.71,4673490.55,40767622.55,20563358.40,14.74,64.84,7.89,34.72,0.98,4.32,14.33,63.04,7.45,32.77
quick,9,devourers,8,521694.30,374462.03,163072.36,179310.97,179310.97,521694.30,4551410.88,39875218.00,20026207.85,11.95,52.56,8.78,38.61,0.80,3.50,11.61,51.05,8.38,36.86
quick,9,factory_ark,8,541024.69,288653.61,133226.81,203898.94,203898.94,541024.69,4577891.12,39297473.00,20142720.95,17.45,76.80,8.46,37.22,1.16,5.12,15.57,68.52,7.96,35.05
quick,9,mist_synod,8,547942.25,342446.68,148806.12,199568.07,199568.07,547942.25,4771183.25,41960103.00,20993206.30,14.29,62.86,8.85,38.96,0.95,4.19,13.20,58.08,8.40,36.97
quick,9,stone_vault,7,522347.06,355930.22,156971.18,182687.94,182687.94,522347.06,4634637.57,40780510.86,20392405.31,12.92,56.85,9.01,39.63,0.86,3.79,12.12,53.31,9.54,41.98
quick,9,wind_houses,9,564860.44,331283.31,115466.44,224697.00,224697.00,564860.44,4661233.22,40510119.11,20509426.18,14.75,64.89,8.32,36.59,0.98,4.33,13.24,58.28,7.56,33.28
quick,10,capital,11,1212045.72,693420.03,196932.04,507556.84,507556.84,1212045.72,17121702.09,101423322.55,85608510.45,25.79,128.97,14.16,70.81,1.72,8.60,24.57,122.87,13.45,67.26
quick,10,devourers,8,1092083.85,781958.14,336868.22,377607.82,377607.82,1092083.85,17186036.00,102401109.50,85930180.00,21.87,109.34,16.10,80.52,1.46,7.29,21.24,106.19,15.78,78.92
quick,10,factory_ark,8,1119626.96,603733.10,282797.09,418414.93,418414.93,1119626.96,17196839.88,100763130.00,85984199.38,32.30,161.52,15.42,77.08,2.15,10.77,28.29,141.41,14.59,72.94
quick,10,mist_synod,8,1107397.88,688102.08,297712.53,404842.67,404842.67,1107397.88,17241690.00,103289485.50,86208450.00,25.96,129.83,16.00,80.00,1.73,8.65,23.36,116.82,14.64,73.19
quick,10,stone_vault,7,1081719.52,738703.25,330891.43,375414.04,375414.04,1081719.52,17173140.29,102940647.43,85865701.43,23.40,116.98,16.19,80.95,1.56,7.80,22.49,112.46,15.80,78.99
quick,10,wind_houses,9,1174098.87,693512.86,246163.95,463967.46,463967.46,1174098.87,17180143.33,101288044.89,85900716.67,26.20,131.01,14.71,73.55,1.75,8.73,23.20,116.00,13.32,66.58
