sample_id,seed,mission_profile,mission_archetype,primary_activity,ship_id,local_name_ru,rank,faction_id,ship_class_id,mission_success_factor,outcome,destroyed_chance,damaged_chance,damage_percent,expected_extracted_total_fe,expected_material_fe,expected_intangible_fe,generated_material_fe,generated_intangible_fe,generated_extracted_total_fe,generated_destroyed_total_fe,awarded_material_fe,awarded_intangible_fe,awarded_total_fe,awarded_ship_xp,awarded_mastery_points,cargo_capacity_tons,cargo_used_tons,source_summary,payload_count,sample_hash,expected_ratio,validation_status,validation_errors
S057,sortie-v1:S057:capital_light_recon_cruiser_r08:danger:danger_courier,danger,danger_courier,courier,capital_light_recon_cruiser_r08,Обсерватор,8,capital,cruiser,1.0000,extracted_clean,0.0550,0.2000,0.5,3270140.71,265146.54,1502497.08,229896.16,1186865.11,2603626.39,1186865.11,229896.16,2373730.23,2603626.39,3102,37,465,1.338,mechanisms x163.78652507972876; munition_bundle x70.91494313379363; weapon x30.078087299020737; perfcards x14.412313830301239,4,b98a1b9c9f8dfd68,0.7962,pass,
S058,sortie-v1:S058:wind_houses_repair_battleship_r09:danger:danger_repair,danger,danger_repair,repair,wind_houses_repair_battleship_r09,Архонт,9,wind_houses,battleship,1.0000,extracted_clean,0.0550,0.2000,6.1,3940401.40,487015.90,1726692.75,571865.86,1757463.87,4086793.60,1757463.87,571865.86,3514927.74,4086793.60,9551,54,4180,3.500,mechanisms x573.6578101463565; munition_bundle x112.9572748817059; perfcards x36.08518600300426; nobel x31.081481374316862,4,2bc22ddb49de1e62,1.0372,pass,
S059,sortie-v1:S059:wind_houses_torpedo_recon_cruiser_r10:danger:danger_combat,danger,danger_combat,combat,wind_houses_torpedo_recon_cruiser_r10,Комета,10,wind_houses,cruiser,1.0000,extracted_clean,0.0550,0.2000,0.8,3616975.53,516710.79,1550132.37,371910.00,1597769.87,3567449.75,1597769.87,371910.00,3195539.75,3567449.75,101888,41,510,18.528,automaton_contact_comb x156; automaton_command_cylinder x27; automaton_brass_valve x149; automaton_logic_drum x52; automaton_calibration_gear x143; automaton_pressure_gauge x101; automaton_logic_drum x18,7,a25373e2d7069ef9,0.9863,pass,
S060,sortie-v1:S060:stone_vault_ore_foundry_battleship_r02:danger:danger_ore,danger,danger_ore,mining,stone_vault_ore_foundry_battleship_r02,Ванна,2,stone_vault,battleship,0.6331,extracted_clean,0.1290,0.3651,13.1,1294252.72,793251.67,250500.53,812184.27,226412.69,1265009.66,226412.69,812184.27,452825.39,1265009.66,123,9,3800,40.813,needle_chalk 14.7t; coal_slag 57.1t; light_tuff 15.3t; rustwort 23.7t,14,6bc5d2c05ae84570,0.9774,pass,
S061,sortie-v1:S061:mist_synod_gas_combine_battleship_r03:danger:danger_gas,danger,danger_gas,gas,mist_synod_gas_combine_battleship_r03,Баллон,3,mist_synod,battleship,0.8716,extracted_damaged,0.0641,0.2578,58.3,1912964.07,1172461.85,370251.11,1174119.34,332349.75,1838818.84,332349.75,1174119.34,664699.51,1838818.84,241,17,3300,21.781,ion_fog 1.6t; dry_mist 19.0t; crystal_mist 1.2t,4,a7b4b5e8b0e3734d,0.9612,pass,
S062,sortie-v1:S062:devourers_harpoon_cruiser_r04:danger:danger_hunting,danger,danger_hunting,hunting,devourers_harpoon_cruiser_r04,Связка,4,devourers,cruiser,1.0000,extracted_damaged,0.0550,0.2000,39.3,2173854.85,1170537.23,501658.81,1209998.86,475838.70,2161676.25,475838.70,1209998.86,951677.39,2161676.25,701,24,370,6.717,fat_whale_calf 0.06; shellback 0.06,13,21a250c9cf831771,0.9944,pass,
S063,sortie-v1:S063:factory_ark_automaton_tender_frigate_r05:danger:danger_salvage,danger,danger_salvage,salvage,factory_ark_automaton_tender_frigate_r05,Таль,5,factory_ark,frigate,0.4473,extracted_damaged,0.2230,0.4487,30.4,860948.46,443518.90,208714.78,485280.00,200846.46,886972.92,200846.46,485280.00,401692.92,886972.92,1295,12,50,23.014,automaton_command_cylinder x70; automaton_optic_lens x137; automaton_servo_core x86; automaton_brass_valve x256; automaton_gyroscope x38,5,82f89d5a40bca248,1.0302,pass,
S064,sortie-v1:S064:factory_ark_modular_survey_cruiser_r06:danger:danger_relic,danger,danger_relic,relic,factory_ark_modular_survey_cruiser_r06,Матрица,6,factory_ark,cruiser,1.0000,extracted_clean,0.0550,0.2000,8.8,2425682.67,1194739.22,615471.72,1540634.51,776225.29,3093085.08,776225.29,1540634.51,1552450.58,3093085.08,3001,47,430,3.410,archive_suitcase; ore_case; chronograph_cabinet; machine_library,4,851d8b7d0bf5fec2,1.2751,pass,
S065,sortie-v1:S065:wind_houses_light_research_frigate_r07:danger:danger_courier,danger,danger_courier,courier,wind_houses_light_research_frigate_r07,Сфера,7,wind_houses,frigate,0.6033,destroyed,0.1416,0.3785,100.0,1750057.95,141896.59,804080.68,142362.57,734970.59,1612303.75,734970.59,0.00,734970.59,734970.59,827,11,45,0.839,mechanisms x108.9016887568993; munition_bundle x40.07764268671091; weapon x16.94232844562698; perfcards x9.373127909816628,4,28129787d8cd404c,0.9213,pass,
S066,sortie-v1:S066:wind_houses_repair_battleship_r08:danger:danger_repair,danger,danger_repair,repair,wind_houses_repair_battleship_r08,Целитель,8,wind_houses,battleship,1.0000,extracted_clean,0.0550,0.2000,11.0,3843100.01,474989.89,1684055.06,482200.29,1638079.04,3758358.38,1638079.04,482200.29,3276158.09,3758358.38,4901,49,4050,2.774,mechanisms x443.190952922016; munition_bundle x97.59623030905539; perfcards x33.18953822294598; nobel x36.95475399382454,4,b15c6fd4870b4c2d,0.9779,pass,
S067,sortie-v1:S067:mist_synod_gunline_cruiser_r09:danger:danger_combat,danger,danger_combat,combat,mist_synod_gunline_cruiser_r09,Гелиос,9,mist_synod,cruiser,1.0000,extracted_clean,0.0550,0.2000,9.4,3456163.33,493737.62,1481212.86,272640.00,1333253.93,2939147.86,1333253.93,272640.00,2666507.86,2939147.86,45833,33,465,13.500,automaton_command_cylinder x53; automaton_relay x229; automaton_logic_drum x55; automaton_coil x112; automaton_coil x236,5,4ba3d4352a20ac98,0.8504,pass,
S068,sortie-v1:S068:stone_vault_refinery_cruiser_r10:danger:danger_ore,danger,danger_ore,mining,stone_vault_refinery_cruiser_r10,Рафинад,10,stone_vault,cruiser,1.0000,extracted_clean,0.0550,0.2000,10.2,2652254.18,1625575.14,513339.52,1988163.84,598948.15,3186060.13,598948.15,1988163.84,1197896.29,3186060.13,37480,54,855,90.949,medyanka 43.7t; murky_monazite 16.3t; coal_slag 144.7t; dense_rustwort 26.0t,15,e032dd019df3bb76,1.2013,pass,
S069,sortie-v1:S069:stone_vault_refinery_cruiser_r02:danger:danger_courier,danger,danger_courier,courier,stone_vault_refinery_cruiser_r02,Дробь,2,stone_vault,cruiser,0.0200,extracted_damaged,0.5832,0.6410,43.4,60967.83,4943.34,28012.25,3488.19,20792.67,45073.54,20792.67,3488.19,41585.35,45073.54,46,3,500,0.020,mechanisms x2.5951560221915417; munition_bundle x0.9257312711449548; weapon x0.47050240524618253; perfcards x0.24242422374683056,4,9295a095f7b4a991,0.7393,pass,
S070,sortie-v1:S070:devourers_harpoon_cruiser_r03:danger:danger_hunting,danger,danger_hunting,hunting,devourers_harpoon_cruiser_r03,Тянуч,3,devourers,cruiser,0.7426,extracted_damaged,0.0914,0.3158,20.5,1582078.89,851888.63,365095.13,1043977.67,394045.43,1832068.54,394045.43,1043977.67,788090.87,1832068.54,393,16,350,4.529,sail_ray 0.19; armored_whale 0.00,13,25bf7fc7422514f5,1.1580,pass,
S071,sortie-v1:S071:wind_houses_industrial_battleship_r04:danger:danger_salvage,danger,danger_salvage,salvage,wind_houses_industrial_battleship_r04,Каравелла,4,wind_houses,battleship,0.8634,extracted_clean,0.0653,0.2615,0.5,2223047.12,1145206.09,538920.51,1367600.00,553620.86,2474841.72,553620.86,1367600.00,1107241.72,2474841.72,712,25,4700,67.635,automaton_calibration_gear x589; automaton_command_cylinder x298; automaton_gyroscope x528; automaton_pressure_gauge x102,4,224fc638e866f92d,1.1133,pass,
S072,sortie-v1:S072:factory_ark_modular_survey_cruiser_r05:danger:danger_relic,danger,danger_relic,relic,factory_ark_modular_survey_cruiser_r05,Дешифр,5,factory_ark,cruiser,1.0000,extracted_clean,0.0550,0.2000,6.8,2428917.93,1196332.71,616292.61,1101367.08,512973.93,2127314.93,512973.93,1101367.08,1025947.85,2127314.93,1124,30,410,2.100,brass_catalog; library_slab; library_slab,3,5fd4cac32cf55938,0.8758,pass,
S073,sortie-v1:S073:capital_recon_frigate_r06:danger:danger_courier,danger,danger_courier,courier,capital_recon_frigate_r06,Дозор,6,capital,frigate,0.5596,extracted_damaged,0.1617,0.3982,23.6,1628302.63,132024.54,748139.05,96472.69,654609.08,1405690.85,654609.08,96472.69,1309218.16,1405690.85,785,17,41,0.560,mechanisms x73.08892813687606; munition_bundle x24.569293297277948; weapon x12.90167083221714; perfcards x6.8295281248282365,4,e9761e860addda5e,0.8633,pass,
S074,sortie-v1:S074:capital_repair_cruiser_r07:danger:danger_repair,danger,danger_repair,repair,capital_repair_cruiser_r07,Скрепа,7,capital,cruiser,1.0000,destroyed,0.0550,0.2000,100.0,3196158.11,395030.78,1400563.67,289274.81,1153650.83,2596576.47,1153650.83,0.00,1153650.83,1153650.83,945,17,490,1.659,mechanisms x263.9198470203334; munition_bundle x59.474121967029326; perfcards x20.46575270679299; nobel x21.58102517516177,4,f762cf2b13dba215,0.8124,pass,
S075,sortie-v1:S075:stone_vault_heavy_gun_battleship_r08:danger:danger_combat,danger,danger_combat,combat,stone_vault_heavy_gun_battleship_r08,Сатурн,8,stone_vault,battleship,0.9494,extracted_damaged,0.0564,0.2228,18.0,3608428.69,515489.81,1546469.44,320910.00,1346319.31,3013548.62,1346319.31,320910.00,2692638.62,3013548.62,23239,30,3980,16.046,automaton_calibration_gear x89; automaton_mainspring x134; automaton_pressure_gauge x135; automaton_coil x347,4,7f2f80351629a71c,0.8351,pass,
S076,sortie-v1:S076:devourers_leviathan_hunter_battleship_r02:elite:elite_combat,elite,elite_combat,combat,devourers_leviathan_hunter_battleship_r02,Рогач,2,devourers,battleship,0.2948,extracted_damaged,0.4729,0.6173,20.9,1134596.39,162085.20,486255.59,94760.00,415893.53,926547.06,415893.53,94760.00,831787.06,926547.06,548,4,2690,4.368,automaton_pressure_gauge x22; automaton_coil x81; automaton_servo_joint x31; automaton_core x4; automaton_logic_drum x11; automaton_contact_comb x47,6,321408b170f2939d,0.8166,pass,
S077,sortie-v1:S077:stone_vault_ore_foundry_battleship_r03:elite:elite_ore,elite,elite_ore,mining,stone_vault_ore_foundry_battleship_r03,Печь,3,stone_vault,battleship,0.4936,extracted_damaged,0.2850,0.5279,36.7,1354742.56,830326.09,262208.24,693359.65,226681.83,1146723.32,226681.83,693359.65,453363.67,1146723.32,340,9,4200,15.789,bluevein 23.1t; light_tuff 15.9t; needle_chalk 9.8t,12,5a012d8e568a2060,0.8465,pass,
S078,sortie-v1:S078:mist_synod_gas_combine_battleship_r04:elite:elite_gas,elite,elite_gas,gas,mist_synod_gas_combine_battleship_r04,Гало,4,mist_synod,battleship,0.7782,extracted_damaged,0.1234,0.3998,18.9,2157174.70,1322139.33,417517.68,1033577.73,350987.91,1735553.55,350987.91,1033577.73,701975.82,1735553.55,638,14,3650,7.094,azure_veil 2.5t; green_bloom 2.8t; thermal_breath 1.9t,6,186696200b24dc15,0.8045,pass,
S079,sortie-v1:S079:devourers_harpoon_cruiser_r05:elite:elite_hunting,elite,elite_hunting,hunting,devourers_harpoon_cruiser_r05,Захлест,5,devourers,cruiser,0.8643,extracted_damaged,0.0994,0.3611,70.1,2382612.82,1282945.37,549833.73,995715.73,381757.79,1759231.32,381757.79,995715.73,763515.59,1759231.32,1503,17,405,4.953,acid_spitter 0.61,6,90a7860a0a4d7a40,0.7384,pass,
S080,sortie-v1:S080:factory_ark_automaton_factory_battleship_r06:elite:elite_salvage,elite,elite_salvage,salvage,factory_ark_automaton_factory_battleship_r06,Сборка,6,factory_ark,battleship,1.0000,extracted_clean,0.0850,0.3000,0.8,3379651.07,1741032.37,819309.35,2378800.00,1024777.25,4428354.49,1024777.25,2378800.00,2049554.49,4428354.49,5206,46,4700,77.963,automaton_pressure_gauge x403; automaton_core x143; automaton_optic_lens x273; automaton_core x192; automaton_core x108; automaton_mainspring x875; automaton_optic_lens x363,7,0d44b2a298567956,1.3103,pass,
S081,sortie-v1:S081:factory_ark_modular_survey_cruiser_r07:elite:elite_relic,elite,elite_relic,relic,factory_ark_modular_survey_cruiser_r07,Лабиринт,7,factory_ark,cruiser,1.0000,extracted_damaged,0.0850,0.3000,60.2,3017077.22,1486023.11,765527.06,1209743.01,586152.01,2382047.03,586152.01,1209743.01,1172304.02,2382047.03,5504,31,455,1.640,chronograph_cabinet; counting_plank; library_slab,3,2053444780d549c7,0.7895,pass,
S082,sortie-v1:S082:capital_light_recon_cruiser_r08:elite:elite_courier,elite,elite_courier,courier,capital_light_recon_cruiser_r08,Обсерватор,8,capital,cruiser,0.9561,extracted_damaged,0.0865,0.3198,66.3,3754144.97,304390.13,1724877.42,271984.93,1915467.67,4102920.27,1915467.67,271984.93,3830935.34,4102920.27,6144,46,465,1.561,mechanisms x194.44764477814545; munition_bundle x82.79243625156832; weapon x31.049523915470946; perfcards x19.792598995306687,4,deca3bd435e7c925,1.0929,pass,
S083,sortie-v1:S083:factory_ark_assault_cruiser_r09:elite:elite_repair,elite,elite_repair,repair,factory_ark_assault_cruiser_r09,Пролом,9,factory_ark,cruiser,1.0000,extracted_clean,0.0850,0.3000,7.2,4148780.19,512770.58,1818004.80,648615.12,1906871.24,4462357.60,1906871.24,648615.12,3813742.48,4462357.60,16016,59,465,3.963,mechanisms x652.748520076979; munition_bundle x123.79382061010917; perfcards x36.10074219067433; nobel x44.08662461166593,4,92fcaf1558254f33,1.0756,pass,
S084,sortie-v1:S084:mist_synod_gunline_cruiser_r10:elite:elite_combat,elite,elite_combat,combat,mist_synod_gunline_cruiser_r10,Пирофор,10,mist_synod,cruiser,1.0000,extracted_clean,0.0850,0.3000,14.8,4021605.85,574515.12,1723545.37,429160.00,1948122.81,4325405.63,1948122.81,429160.00,3896245.63,4325405.63,161873,43,485,21.458,automaton_coil x624; automaton_coil x508; automaton_mainspring x204,3,bb0528820b98c1e7,1.0755,pass,
S085,sortie-v1:S085:stone_vault_ore_foundry_battleship_r02:elite:elite_ore,elite,elite_ore,mining,stone_vault_ore_foundry_battleship_r02,Ванна,2,stone_vault,battleship,0.2941,destroyed,0.4737,0.6177,100.0,721974.10,442500.25,139736.92,400955.32,125245.55,651446.41,125245.55,0.00,125245.55,125245.55,90,2,3800,10.120,salty_chalk 4.5t; light_tuff 6.2t; copper_dust 15.0t; needle_chalk 5.2t; bluevein 5.3t,19,358a64497f2d50a9,0.9023,pass,
S086,sortie-v1:S086:mist_synod_gas_combine_battleship_r03:elite:elite_gas,elite,elite_gas,gas,mist_synod_gas_combine_battleship_r03,Баллон,3,mist_synod,battleship,0.5045,extracted_damaged,0.2765,0.5230,22.8,1329611.28,814923.04,257344.12,662411.35,205295.99,1073003.33,205295.99,662411.35,410591.98,1073003.33,340,9,3300,4.039,ion_fog 1.5t; green_bloom 2.5t,3,6fe845128d3d9170,0.8070,pass,
S087,sortie-v1:S087:devourers_leviathan_processor_battleship_r04:elite:elite_hunting,elite,elite_hunting,hunting,devourers_leviathan_processor_battleship_r04,Жирник,4,devourers,battleship,0.6825,extracted_clean,0.1636,0.4429,4.9,2020305.25,1087856.67,466224.29,1557275.22,632241.78,2821758.78,632241.78,1557275.22,1264483.56,2821758.78,1398,21,3950,7.642,acid_spitter 0.88; armored_whale 0.00,13,de6133a00596e718,1.3967,pass,
S088,sortie-v1:S088:factory_ark_automaton_factory_battleship_r05:elite:elite_salvage,elite,elite_salvage,salvage,factory_ark_automaton_factory_battleship_r05,Автомат,5,factory_ark,battleship,0.9045,extracted_damaged,0.0921,0.3430,54.6,2840298.58,1463184.11,688557.23,1502780.00,730224.51,2963229.03,730224.51,1502780.00,1460449.03,2963229.03,1910,26,4300,59.507,automaton_calibration_gear x228; automaton_pressure_gauge x264; automaton_coil x606; automaton_core x108; automaton_core x61; automaton_relay x1591; automaton_optic_lens x309,7,f0492227debd5241,1.0433,pass,
S089,sortie-v1:S089:factory_ark_modular_survey_cruiser_r06:elite:elite_relic,elite,elite_relic,relic,factory_ark_modular_survey_cruiser_r06,Матрица,6,factory_ark,cruiser,1.0000,extracted_clean,0.0850,0.3000,7.5,2912611.58,1434569.88,739020.85,1695891.73,826109.09,3348109.91,826109.09,1695891.73,1652218.17,3348109.91,4173,43,430,2.460,library_slab; cipher_cassette; captain_protocol; captain_protocol,4,0bbb3241982fc49c,1.1495,pass,
S090,sortie-v1:S090:mist_synod_dome_recon_frigate_r07:elite:elite_courier,elite,elite_courier,courier,mist_synod_dome_recon_frigate_r07,Сфера,7,mist_synod,frigate,0.4937,destroyed,0.2849,0.5278,100.0,1823733.50,147870.28,837931.61,150941.69,803830.81,1758603.31,803830.81,0.00,803830.81,803830.81,1313,9,49,0.887,mechanisms x117.7706461971999; munition_bundle x38.73666364869027; weapon x18.781369167196402; perfcards x10.399390523074707,4,458e438180a3dc03,0.9643,pass,
S091,sortie-v1:S091:wind_houses_repair_battleship_r08:elite:elite_repair,elite,elite_repair,repair,wind_houses_repair_battleship_r08,Целитель,8,wind_houses,battleship,1.0000,extracted_clean,0.0850,0.3000,13.4,4614559.74,570338.84,2022110.45,432976.81,1563971.38,3560919.57,1563971.38,432976.81,3127942.76,3560919.57,5094,33,4050,2.420,mechanisms x366.3439130470934; munition_bundle x104.90064256865284; perfcards x33.98515526727577; nobel x29.328364090027172,4,d75d601cb29f01af,0.7717,pass,
S092,sortie-v1:S092:capital_patrol_frigate_r09:elite:elite_combat,elite,elite_combat,combat,capital_patrol_frigate_r09,Кречет,9,capital,frigate,0.7924,extracted_damaged,0.1186,0.3934,42.5,2891020.52,413002.93,1239008.79,286250.00,1347837.42,2981924.84,1347837.42,286250.00,2695674.84,2981924.84,88909,35,55,14.312,automaton_pressure_gauge x97; automaton_pressure_gauge x80; automaton_gyroscope x120; automaton_mainspring x104,4,b3b0aa67c5b72483,1.0314,pass,
S093,sortie-v1:S093:stone_vault_refinery_cruiser_r10:elite:elite_ore,elite,elite_ore,mining,stone_vault_refinery_cruiser_r10,Рафинад,10,stone_vault,cruiser,1.0000,extracted_damaged,0.0850,0.3000,60.4,3533264.20,2165549.03,683857.59,2145215.46,697403.34,3540022.14,697403.34,2145215.46,1394806.68,3540022.14,52667,50,855,39.359,salty_chalk 39.4t; royal_vein 5.1t; green_vein 31.0t; copper_dust 71.0t,17,506ecbfb7ecd356b,1.0019,pass,
S094,sortie-v1:S094:capital_long_range_heavy_cruiser_r02:elite:elite_combat,elite,elite_combat,combat,capital_long_range_heavy_cruiser_r02,Рейнджер,2,capital,cruiser,0.2750,extracted_damaged,0.4950,0.6262,32.8,863816.67,123402.38,370207.14,78280.00,367895.94,814071.88,367895.94,78280.00,735791.88,814071.88,584,4,284,3.914,automaton_contact_comb x69; automaton_pressure_gauge x17; automaton_coil x61; automaton_relay x69; automaton_contact_comb x31; automaton_gyroscope x13,6,d43266bbc5e92718,0.9424,pass,
S095,sortie-v1:S095:devourers_leviathan_processor_battleship_r03:elite:elite_hunting,elite,elite_hunting,hunting,devourers_leviathan_processor_battleship_r03,Раздел,3,devourers,battleship,0.4730,extracted_damaged,0.3016,0.5372,58.6,1414397.92,761598.88,326399.52,652529.37,279905.09,1212339.55,279905.09,652529.37,559810.18,1212339.55,455,9,3600,3.584,fat_whale_calf 0.03; storm_bull 0.00,12,24a8a0bf41566189,0.8571,pass,
S096,sortie-v1:S096:factory_ark_automaton_tender_frigate_r04:elite:elite_salvage,elite,elite_salvage,salvage,factory_ark_automaton_tender_frigate_r04,Сборщик,4,factory_ark,frigate,0.0200,destroyed,0.8341,0.7410,100.0,45379.25,23377.19,11001.03,31330.00,14141.32,59612.64,14141.32,0.00,14141.32,14141.32,615,3,46,1.567,automaton_servo_joint x4; automaton_relay x18; automaton_pressure_gauge x6; automaton_pressure_gauge x5; automaton_relay x19; automaton_calibration_gear x5; automaton_calibration_gear x4; automaton_contact_comb x27; automaton_servo_joint x1,9,5391b878b710d9b2,1.3137,pass,
S097,sortie-v1:S097:factory_ark_modular_survey_cruiser_r05:elite:elite_relic,elite,elite_relic,relic,factory_ark_modular_survey_cruiser_r05,Дешифр,5,factory_ark,cruiser,1.0000,destroyed,0.0850,0.3000,100.0,2916496.29,1436483.25,740006.52,1352726.65,750355.21,2853437.07,750355.21,0.00,750355.21,750355.21,941,17,410,1.690,library_slab; counting_plank; captain_protocol,3,663fd3c998eb3748,0.9784,pass,
S098,sortie-v1:S098:mist_synod_toxic_cloud_cruiser_r06:elite:elite_courier,elite,elite_courier,courier,mist_synod_toxic_cloud_cruiser_r06,Кислота,6,mist_synod,cruiser,0.5365,destroyed,0.2526,0.5086,100.0,1960643.45,158971.09,900836.18,189407.31,990368.60,2170144.52,990368.60,0.00,990368.60,990368.60,792,11,410,1.120,mechanisms x152.05336104620443; munition_bundle x45.634918120884535; weapon x23.595735793147927; perfcards x13.085903235065489,4,99dde37d18f7cb8c,1.1069,pass,
S099,sortie-v1:S099:mist_synod_repair_cruiser_r07:elite:elite_repair,elite,elite_repair,repair,mist_synod_repair_cruiser_r07,Целитель,7,mist_synod,cruiser,1.0000,extracted_damaged,0.0850,0.3000,67.2,4259704.28,526480.30,1866611.99,554944.44,2188416.77,4931777.99,2188416.77,554944.44,4376833.54,4931777.99,4097,49,500,3.138,mechanisms x461.9788962516313; munition_bundle x149.8122925622171; perfcards x34.23429778194878; nobel x45.07372520229914,4,258fb51b0bd6e6cf,1.1578,pass,
S100,sortie-v1:S100:mist_synod_toxic_cloud_cruiser_r08:elite:elite_combat,elite,elite_combat,combat,mist_synod_toxic_cloud_cruiser_r08,Реагент,8,mist_synod,cruiser,0.8467,extracted_damaged,0.1033,0.3690,27.8,3183832.74,454833.25,1364499.75,409440.00,1661998.57,3733437.14,1661998.57,409440.00,3323997.14,3733437.14,49815,37,470,15.015,automaton_brass_valve x230; automaton_mainspring x108; automaton_coil x122; automaton_core x28; automaton_contact_comb x362; automaton_core x31,6,99af73ab73dada17,1.1726,pass,
